i15,e04,c2,p35,l3,1789
i38,e10,c1,p10,l3,90643
i02,e08,c1,p35,l3,228
i28,e04,c1,p35,l3,26
i39,e04,c5,p14,l3,17
i06,e10,c5,p03,l3,42599
i06,e10,c5,p14,l3,21206
i06,e08,c5,p29,l2,1868
i14,e08,c5,p03,l3,12
i01,e08,c1,p10,l3,110
i06,e10,c5,p01,l2,71
i39,e04,c5,p01,l3,51
i47,e04,c1,p35,l3,241
i16,e08,c5,p15,l3,113
i06,e10,c5,p35,l4,1879
i06,e09,c5,p15,l2,85
i17,e08,c5,p01,l3,85
i16,e08,c5,p06,l3,14
i38,e10,c7,p13,l4,23
i38,e10,c4,p09,l3,9
i38,e10,c4,p02,l3,181
i38,e10,c4,p07,l3,89
i39,e01,c5,p29,l3,6
i38,e11,c1,p31,l2,10
i06,e10,c5,p10,l1,237
i38,e10,c1,p29,l2,10
i01,e09,c1,p35,l3,21
i38,e11,c4,p10,l2,13
i14,e12,c5,p16,l3,606
i34,e01,c5,p04,l3,6
i13,e11,c5,p23,l3,5
i33,e10,c1,p01,l3,6
i06,e10,c5,p33,l4,21
i75,e09,c1,p35,l3,5
i39,e01,c5,p19,l3,38
i91,e04,c1,p10,l3,1
i02,e09,c1,p23,l3,27
i03,e10,c5,p22,l3,4
i05,e06,c1,p03,l3,4
i13,e08,c5,p05,l3,11
i34,e03,c5,p07,l3,31
i38,e11,c4,p12,l2,2
i01,e08,c1,p18,l3,24
i34,e03,c5,p04,l3,39
i21,e01,c1,p19,l3,9
i17,e09,c5,p29,l3,25
i34,e04,c5,p05,l3,8
i06,e09,c5,p09,l2,37
i07,e12,c5,p10,l3,15
i01,e11,c1,p35,l3,38
i17,e08,c5,p22,l3,24
i67,e10,c5,p19,l3,6
i13,e03,c5,p10,l3,6
i27,e01,c5,p05,l3,4
i61,e11,c1,p35,l3,13
i43,e04,c1,p19,l3,23
i06,e10,c5,p09,l2,9
i01,e08,c1,p11,l3,31
i17,e09,c5,p30,l3,4
i06,e10,c3,p03,l4,8
i38,e12,c1,p13,l3,6
i38,e10,c4,p22,l2,2
i41,e01,c1,p13,l3,2
i38,e12,c1,p28,l3,4
i30,e09,c1,p08,l3,2
i06,e10,c3,p31,l4,3
i48,e08,c1,p28,l3,1
i19,e03,c3,p10,l3,3
i03,e10,c5,p12,l3,5
i49,e06,c1,p01,l3,1
i34,e09,c5,p01,l3,2
i34,e01,c5,p21,l3,4
i16,e04,c5,p11,l3,7
i06,e07,c5,p03,l2,2
i23,e01,c5,p13,l3,1
i16,e11,c5,p22,l3,1
i13,e04,c5,p07,l3,1
i41,e07,c1,p31,l3,1
i39,e04,c5,p06,l3,1
i05,e03,c1,p05,l3,1
i07,e09,c5,p15,l3,1
i38,e10,c1,p25,l3,1310
i46,e01,c1,p03,l3,3
i38,e10,c1,p04,l3,7651
i06,e11,c5,p14,l2,260
i05,e03,c1,p10,l3,6
i38,e10,c1,p28,l3,2700
i34,e09,c5,p17,l3,6
i12,e08,c5,p01,l3,4
i38,e08,c1,p03,l2,265
i17,e04,c5,p04,l3,82
i17,e01,c5,p14,l3,58
i06,e10,c5,p15,l1,116
i38,e10,c1,p21,l2,122
i38,e10,c1,p01,l2,122
i06,e01,c5,p18,l3,77
i17,e11,c5,p09,l3,33
i06,e10,c5,p12,l1,68
i06,e10,c3,p05,l3,44
i34,e03,c5,p28,l3,15
i38,e06,c4,p23,l3,14
i25,e04,c5,p10,l3,6
i46,e08,c1,p11,l3,11
i38,e10,c4,p32,l3,29
i38,e04,c1,p12,l1,43
i43,e08,c1,p19,l3,27
i05,e08,c1,p16,l3,8
i14,e08,c3,p10,l3,12
i05,e03,c1,p35,l3,13
i30,e01,c1,p13,l3,4
i27,e09,c5,p12,l3,4
i38,e04,c1,p16,l1,22
i06,e10,c5,p28,l1,17
i43,e04,c1,p12,l3,2
i21,e04,c1,p03,l3,3
i05,e01,c1,p12,l3,7
i48,e11,c1,p15,l3,3
i17,e09,c5,p12,l3,8
i38,e12,c1,p32,l3,1
i27,e01,c5,p16,l3,4
i38,e11,c4,p14,l2,1
i33,e10,c1,p05,l3,2
i38,e01,c7,p10,l3,5
i18,e08,c1,p35,l3,12
i13,e08,c5,p35,l3,3
i38,e10,c1,p22,l1,5
i06,e10,c3,p13,l3,2
i14,e08,c5,p05,l3,3
i29,e09,c5,p12,l3,2
i17,e01,c5,p24,l3,6
i38,e11,c4,p19,l2,2
i41,e09,c1,p32,l3,4
i21,e04,c1,p01,l3,1
i39,e01,c5,p02,l3,3
i12,e08,c5,p17,l3,1
i23,e08,c5,p03,l3,3
i06,e11,c3,p09,l2,2
i01,e11,c1,p24,l3,2
i01,e08,c1,p13,l3,5
i13,e08,c5,p29,l3,3
i27,e09,c5,p05,l3,1
i27,e09,c5,p16,l3,1
i38,e05,c1,p35,l1,1
i05,e03,c1,p07,l3,1
i80,e04,c3,p35,l3,3
i67,e09,c5,p05,l3,1
i06,e02,c5,p17,l1,1
i06,e10,c5,p25,l4,624
i19,e11,c5,p10,l3,178
i06,e12,c5,p08,l3,47
i06,e09,c5,p24,l2,54
i06,e11,c5,p18,l2,293
i06,e12,c5,p35,l3,165
i13,e11,c5,p01,l3,5
i17,e08,c5,p31,l3,10
i38,e10,c1,p18,l4,1000
i16,e01,c5,p15,l3,23
i38,e10,c1,p02,l2,106
i06,e10,c3,p10,l3,522
i02,e04,c1,p19,l3,760
i38,e01,c1,p21,l3,78
