timestamp,i01,i02,i03,i05,i06,i07,i08,i09,i12,i13,i136,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i34,i35,i36,i37,i38,i39,i41,i42,i43,i44,i45,i46,i47,i48,i49,i57,i61,i65,i66,i67,i72,i74,i75,i76,i77,i79,i80,i81,i87,i88,i89,i97,unknown,i04,i100,i101,i102,i111,i147,i59,i63,i68,i70,i82,i95,i96,i10,i104,i107,i11,i130,i132,i33,i50,i54,i64,i73,i83,i90,i53,i99,i123,i40,i52,i51,i71,i86,i91,i106,i125,i94,i98,i112,i78,i121,i117,i141,i103,i133,i84,i114,i120,i134,i109,i129,i105,i144,i122,i85,i118,i116,i140,i108,i115,i119,i58,i131,i110,i113,i56,i139,i93,i62,i128,i127,i142,i135,i126,i145,i138,i01_prediction,i02_prediction,i03_prediction,i05_prediction,i06_prediction,i07_prediction,i08_prediction,i09_prediction,i12_prediction,i13_prediction,i136_prediction,i14_prediction,i15_prediction,i16_prediction,i17_prediction,i18_prediction,i19_prediction,i20_prediction,i21_prediction,i22_prediction,i23_prediction,i24_prediction,i25_prediction,i26_prediction,i27_prediction,i28_prediction,i29_prediction,i30_prediction,i31_prediction,i32_prediction,i34_prediction,i35_prediction,i36_prediction,i37_prediction,i38_prediction,i39_prediction,i41_prediction,i42_prediction,i43_prediction,i44_prediction,i45_prediction,i46_prediction,i47_prediction,i48_prediction,i49_prediction,i57_prediction,i61_prediction,i65_prediction,i66_prediction,i67_prediction,i72_prediction,i74_prediction,i75_prediction,i76_prediction,i77_prediction,i79_prediction,i80_prediction,i81_prediction,i87_prediction,i88_prediction,i89_prediction,i97_prediction,unknown_prediction,i04_prediction,i100_prediction,i101_prediction,i102_prediction,i111_prediction,i147_prediction,i59_prediction,i63_prediction,i68_prediction,i70_prediction,i82_prediction,i95_prediction,i96_prediction,i10_prediction,i104_prediction,i107_prediction,i11_prediction,i130_prediction,i132_prediction,i33_prediction,i50_prediction,i54_prediction,i64_prediction,i73_prediction,i83_prediction,i90_prediction,i53_prediction,i99_prediction,i123_prediction,i40_prediction,i52_prediction,i51_prediction,i71_prediction,i86_prediction,i91_prediction,i106_prediction,i125_prediction,i94_prediction,i98_prediction,i112_prediction,i78_prediction,i121_prediction,i117_prediction,i141_prediction,i103_prediction,i133_prediction,i84_prediction,i114_prediction,i120_prediction,i134_prediction,i109_prediction,i129_prediction,i105_prediction,i144_prediction,i122_prediction,i85_prediction,i118_prediction,i116_prediction,i140_prediction,i108_prediction,i115_prediction,i119_prediction,i58_prediction,i131_prediction,i110_prediction,i113_prediction,i56_prediction,i139_prediction,i93_prediction,i62_prediction,i128_prediction,i127_prediction,i142_prediction,i135_prediction,i126_prediction,i145_prediction,i138_prediction
1535731200000,264.0,4241.0,180.0,813.0,1449409.0,119.0,,14.0,221.0,147.0,,8126.0,289.0,256.0,1957.0,51.0,6.0,,86.0,6.0,148.0,11.0,13.0,54.0,1.0,8242.0,1.0,85.0,159.0,8.0,2873.0,,8.0,212.0,629463.0,293.0,44.0,168.0,99.0,,2.0,53655.0,934.0,29.0,523.0,1.0,,,3.0,11.0,1.0,8.0,,,,,,,,3.0,16.0,,1.0,,,,,,,4.0,,3.0,,,,3.0,2.0,,,,,7.0,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,4241.0,180.0,813.0,1449409.0,119.0,,14.0,221.0,147.0,,8126.0,289.0,256.0,1957.0,51.0,6.0,,86.0,6.0,148.0,12.0,13.0,54.0,1.0,8242.0,3.0,85.0,159.0,8.0,2873.0,,8.0,212.0,629463.0,293.0,44.0,168.0,99.0,,2.0,53655.0,934.0,29.0,309.0,1.0,,,3.0,11.0,1.0,8.0,,,,,,,,3.0,5.0,,1.0,,,,,,,4.0,,3.0,,,,3.0,2.0,,,,,7.0,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535731500000,166.0,4863.0,140.0,1368.0,1064370.0,328.0,,20.0,198.0,168.0,,5313.0,198.0,254.0,1866.0,52.0,102.0,6.0,34.0,23.0,126.0,12.0,32.0,41.0,5.0,7212.0,3.0,151.0,187.0,32.0,3945.0,,38.0,107.0,452268.0,166.0,225.0,118.0,78.0,,,43659.0,1005.0,45.0,309.0,,21.0,,1.0,4.0,1.0,26.0,,,,,1.0,,,1.0,5.0,,2.0,,,,,,,6.0,,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,166.0,4863.0,140.0,1368.0,1064370.0,328.0,,20.0,198.0,168.0,,5313.0,198.0,256.0,1866.0,52.0,102.0,6.0,34.0,23.0,126.0,12.0,32.0,41.0,5.0,7212.0,3.0,151.0,159.0,32.0,3945.0,,38.0,107.0,452268.0,166.0,225.0,118.0,78.0,,,43659.0,1005.0,29.0,309.0,,1.0,,1.0,11.0,1.0,8.0,,,,,1.0,,,1.0,5.0,,2.0,,,,,,,6.0,,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1535731800000,196.0,4165.0,111.0,859.0,905004.0,217.0,,28.0,197.0,151.0,,6194.0,253.0,276.0,1652.0,25.0,3.0,7.0,48.0,23.0,237.0,,14.0,16.0,4.0,1.0,17.0,103.0,215.0,61.0,2394.0,,10.0,,388798.0,185.0,45.0,92.0,52.0,,,42028.0,803.0,23.0,69.0,3.0,,,1.0,14.0,,40.0,,,,,,,,,2.0,,1.0,,,,,,,2.0,,,,,,1.0,3.0,3.0,,1.0,,37.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,4165.0,111.0,859.0,1064370.0,217.0,,28.0,197.0,151.0,,6194.0,253.0,276.0,1652.0,25.0,102.0,7.0,34.0,23.0,237.0,,14.0,16.0,4.0,1.0,17.0,103.0,215.0,61.0,2394.0,,10.0,,388798.0,185.0,45.0,92.0,52.0,,,42028.0,803.0,23.0,69.0,3.0,,,1.0,14.0,,40.0,,,,,,,,,2.0,,1.0,,,,,,,2.0,,,,,,1.0,3.0,3.0,,1.0,,37.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535732100000,135.0,3822.0,76.0,753.0,834694.0,147.0,,13.0,201.0,225.0,1.0,8117.0,152.0,273.0,1544.0,20.0,19.0,13.0,88.0,8.0,95.0,9.0,7.0,25.0,,,3.0,161.0,193.0,50.0,2256.0,,2.0,63.0,354100.0,112.0,39.0,109.0,77.0,,,39570.0,986.0,25.0,,3.0,11.0,,3.0,,4.0,,,,,,1.0,,,6.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,10.0,,,1.0,12.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,3822.0,76.0,859.0,834694.0,147.0,,13.0,201.0,225.0,1.0,8117.0,152.0,273.0,1544.0,20.0,19.0,13.0,88.0,8.0,95.0,9.0,14.0,25.0,,,3.0,103.0,215.0,50.0,2256.0,,2.0,35.0,354100.0,185.0,39.0,109.0,77.0,,,39570.0,986.0,25.0,,3.0,11.0,,1.0,,4.0,,,,,,1.0,,,6.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,10.0,,,1.0,8.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535732400000,161.0,3904.0,119.0,782.0,760256.0,185.0,,15.0,349.0,246.0,,5979.0,121.0,284.0,1345.0,26.0,5.0,8.0,85.0,13.0,62.0,2.0,33.0,18.0,,5590.0,11.0,140.0,78.0,4.0,2332.0,,4.0,35.0,313352.0,244.0,30.0,132.0,86.0,,1.0,35140.0,925.0,37.0,58.0,,,,1.0,2.0,4.0,23.0,,,,,,,,,6.0,,,,,,,,,28.0,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,3904.0,119.0,782.0,760256.0,185.0,,15.0,349.0,246.0,,8117.0,121.0,284.0,1345.0,26.0,5.0,8.0,85.0,13.0,62.0,2.0,33.0,18.0,,5590.0,11.0,140.0,78.0,4.0,2256.0,,4.0,35.0,313352.0,244.0,30.0,132.0,86.0,,1.0,35140.0,925.0,37.0,58.0,,,,1.0,2.0,4.0,23.0,,,,,,,,,6.0,,,,,,,,,2.0,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535732700000,121.0,3502.0,56.0,661.0,699779.0,195.0,,14.0,141.0,282.0,,4086.0,116.0,256.0,1441.0,23.0,,10.0,58.0,16.0,65.0,,1.0,23.0,,8889.0,13.0,148.0,96.0,10.0,1844.0,,1.0,9.0,301685.0,267.0,496.0,143.0,27.0,,,32644.0,864.0,23.0,101.0,,1.0,,,11.0,,1.0,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,4.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,3502.0,56.0,661.0,699779.0,195.0,,14.0,141.0,282.0,,4086.0,116.0,256.0,1441.0,23.0,,10.0,58.0,16.0,65.0,,1.0,23.0,,8889.0,13.0,148.0,96.0,10.0,1844.0,,1.0,9.0,301685.0,267.0,496.0,143.0,27.0,,,32644.0,864.0,23.0,58.0,,1.0,,,11.0,,1.0,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,4.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535733000000,75.0,3539.0,76.0,716.0,696171.0,236.0,,14.0,192.0,293.0,,3685.0,154.0,239.0,1145.0,22.0,3.0,9.0,33.0,12.0,101.0,1.0,12.0,24.0,6.0,,15.0,142.0,23.0,13.0,1706.0,,3.0,19.0,289534.0,113.0,1186.0,111.0,20.0,5.0,6.0,29699.0,849.0,25.0,44.0,,23.0,,3.0,2.0,,1.0,,,,,,,,2.0,2.0,,,,,,,,,3.0,,,,,,3.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,2805.0,76.0,716.0,696171.0,236.0,,14.0,192.0,293.0,,3685.0,154.0,239.0,1145.0,22.0,3.0,9.0,33.0,12.0,101.0,1.0,12.0,23.0,6.0,,15.0,142.0,23.0,13.0,1706.0,,3.0,19.0,289534.0,113.0,1186.0,111.0,20.0,5.0,6.0,29699.0,864.0,25.0,419.0,,23.0,,3.0,2.0,,1.0,,,,,,,,2.0,2.0,,,,,,,,,3.0,,,,,,3.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535733300000,62.0,2805.0,102.0,667.0,646370.0,315.0,,11.0,199.0,112.0,,4731.0,131.0,220.0,1295.0,15.0,,10.0,70.0,14.0,75.0,1.0,3.0,26.0,9.0,,17.0,125.0,181.0,4.0,1652.0,,1.0,16.0,277366.0,148.0,60.0,122.0,28.0,5.0,7.0,33546.0,820.0,15.0,419.0,,3.0,,2.0,10.0,1.0,2.0,,1.0,,,,,,,10.0,,,,,,,,,,,4.0,,,,2.0,1.0,5.0,,2.0,,1.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,2805.0,102.0,667.0,646370.0,315.0,,11.0,199.0,112.0,,4731.0,131.0,220.0,1295.0,15.0,,10.0,70.0,14.0,75.0,1.0,3.0,26.0,9.0,,17.0,125.0,181.0,4.0,1652.0,,1.0,16.0,277366.0,148.0,60.0,122.0,20.0,5.0,7.0,33546.0,820.0,15.0,419.0,,3.0,,2.0,10.0,1.0,1.0,,1.0,,,,,,,10.0,,,,,,,,,,,4.0,,,,2.0,1.0,2.0,,1.0,,1.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535733600000,82.0,2954.0,43.0,533.0,584916.0,127.0,,6.0,212.0,133.0,,4796.0,167.0,228.0,1150.0,27.0,3.0,4.0,65.0,7.0,94.0,2.0,8.0,23.0,7.0,5096.0,11.0,119.0,24.0,7.0,1316.0,,6.0,,252555.0,125.0,17.0,118.0,106.0,5.0,2.0,28724.0,850.0,28.0,193.0,2.0,,,,17.0,,11.0,,3.0,,,,,,,12.0,,1.0,,,,,,,,,1.0,,,,1.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,2954.0,43.0,533.0,584916.0,127.0,,6.0,212.0,133.0,,4796.0,167.0,220.0,1150.0,27.0,3.0,4.0,65.0,7.0,94.0,2.0,8.0,23.0,7.0,5096.0,11.0,119.0,181.0,7.0,1316.0,,6.0,,252555.0,125.0,17.0,118.0,106.0,5.0,2.0,28724.0,850.0,28.0,193.0,1.0,,,,17.0,,11.0,,1.0,,,,,,,12.0,,1.0,,,,,,,,,1.0,,,,2.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535733900000,65.0,2609.0,27.0,516.0,549428.0,223.0,,17.0,179.0,102.0,,4880.0,139.0,204.0,1169.0,18.0,16.0,18.0,45.0,6.0,109.0,24.0,3.0,24.0,9.0,4265.0,15.0,96.0,102.0,11.0,1478.0,,1.0,29.0,230187.0,94.0,20.0,100.0,30.0,5.0,2.0,28569.0,845.0,24.0,124.0,1.0,,,3.0,,,32.0,,,,,,,,,12.0,,,,,,,,,1.0,,,,,,2.0,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,65.0,2609.0,27.0,516.0,549428.0,223.0,,17.0,179.0,102.0,,4880.0,139.0,204.0,1169.0,18.0,16.0,18.0,65.0,6.0,109.0,24.0,3.0,24.0,9.0,4265.0,15.0,96.0,102.0,11.0,1478.0,,1.0,29.0,230187.0,94.0,20.0,100.0,30.0,5.0,2.0,28569.0,845.0,24.0,124.0,1.0,,,3.0,,,32.0,,,,,,,,,12.0,,,,,,,,,1.0,,,,,,2.0,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
