timestamp,l1,l2,l3,l4,unknown,l1_prediction,l2_prediction,l3_prediction,l4_prediction,unknown_prediction
1535731200000,14803.0,91933.0,1926281.0,130271.0,,14803.0,91933.0,1926281.0,130271.0,
1535731500000,9855.0,70058.0,1404953.0,104443.0,,9855.0,70058.0,1404953.0,104443.0,
1535731800000,7981.0,65655.0,1189306.0,91743.0,,7981.0,65655.0,1404953.0,91743.0,
1535732100000,7340.0,63806.0,1092812.0,84284.0,,7340.0,63806.0,1092812.0,84284.0,
1535732400000,6474.0,60430.0,988432.0,76930.0,,6474.0,60430.0,988432.0,84284.0,
1535732700000,5877.0,51654.0,927635.0,72969.0,,5877.0,51654.0,927635.0,72969.0,
1535733000000,5460.0,54650.0,898946.0,71260.0,,5460.0,54650.0,898946.0,71260.0,
1535733300000,5143.0,48460.0,850484.0,67739.0,,5143.0,48460.0,850484.0,67739.0,
1535733600000,4816.0,50758.0,768116.0,61254.0,,4816.0,50758.0,850484.0,61254.0,
1535733900000,4499.0,47557.0,717136.0,56693.0,,4499.0,50758.0,717136.0,56693.0,
1535734200000,4076.0,39827.0,673407.0,53902.0,,4076.0,39827.0,673407.0,53902.0,
1535734500000,3597.0,43685.0,628753.0,50464.0,,3597.0,43685.0,673407.0,53902.0,
1535734800000,3535.0,37913.0,612465.0,48057.0,,3535.0,37913.0,612465.0,48057.0,
1535735100000,3528.0,37109.0,571503.0,43817.0,,3528.0,37109.0,612465.0,43817.0,
1535735400000,2976.0,32696.0,539132.0,42079.0,,2976.0,32696.0,539132.0,43817.0,
1535735700000,3054.0,32542.0,518657.0,40284.0,,2976.0,32542.0,518657.0,40284.0,
1535736000000,2779.0,31068.0,493566.0,36457.0,,2779.0,31068.0,518657.0,36457.0,
1535736300000,2521.0,29707.0,468001.0,35357.0,,2521.0,31068.0,493566.0,35357.0,
1535736600000,2349.0,28820.0,468156.0,34226.0,,2521.0,28820.0,468156.0,34226.0,
1535736900000,2325.0,28919.0,419589.0,31883.0,,2325.0,28919.0,400727.0,31883.0,
1535737200000,2424.0,26525.0,400727.0,30275.0,,2424.0,26525.0,400727.0,30275.0,
1535737500000,2038.0,24431.0,369887.0,27539.0,,2038.0,24431.0,369887.0,27539.0,
1535737800000,1988.0,23301.0,342597.0,25258.0,,1988.0,23301.0,342597.0,25258.0,
1535738100000,1715.0,22702.0,325565.0,25007.0,,1988.0,22702.0,325565.0,25007.0,
1535738400000,1770.0,22855.0,313251.0,23281.0,,1431.0,22855.0,313251.0,23281.0,
1535738700000,1585.0,21638.0,305972.0,22010.0,,1431.0,21638.0,313251.0,23281.0,
1535739000000,1431.0,21269.0,295572.0,21146.0,,1431.0,21269.0,295572.0,21146.0,
1535739300000,1633.0,21528.0,279975.0,19914.0,,1633.0,21269.0,295572.0,19914.0,
1535739600000,1656.0,20145.0,272201.0,18577.0,,1656.0,20145.0,272201.0,18577.0,
1535739900000,1298.0,19517.0,278514.0,18787.0,,1298.0,19517.0,278514.0,18787.0,
1535740200000,1188.0,18102.0,284168.0,18000.0,,1188.0,18102.0,284168.0,18000.0,
1535740500000,1261.0,17471.0,294793.0,17326.0,,1261.0,17471.0,294793.0,17326.0,
1535740800000,1285.0,18603.0,303285.0,16442.0,,1285.0,18603.0,294793.0,16442.0,
1535741100000,1076.0,15782.0,301214.0,14883.0,,1076.0,15782.0,301214.0,14883.0,
1535741400000,953.0,17690.0,291493.0,14744.0,,953.0,17690.0,271498.0,14744.0,
1535741700000,1190.0,19133.0,271498.0,14883.0,,953.0,19133.0,271498.0,14883.0,
1535742000000,1222.0,17757.0,280722.0,13631.0,,1222.0,17757.0,271498.0,13631.0,
1535742300000,1314.0,17811.0,267251.0,13294.0,,1314.0,17811.0,267251.0,13294.0,
1535742600000,1158.0,16463.0,263154.0,12871.0,,1158.0,16463.0,263154.0,13294.0,
1535742900000,1025.0,16919.0,250133.0,12560.0,,1025.0,16919.0,263154.0,12560.0,
1535743200000,1110.0,17760.0,213346.0,12469.0,,1110.0,17760.0,194712.0,12469.0,
1535743500000,1087.0,15745.0,194712.0,11996.0,,1087.0,15745.0,194712.0,11996.0,
1535743800000,1017.0,16457.0,197146.0,11627.0,,1017.0,16457.0,227602.0,11627.0,
