i15,e09,c6,p35,l3,26
i01,e08,c1,p16,l3,15
i06,e10,c5,p25,l3,9381
i06,e11,c5,p29,l2,241
i07,e08,c5,p35,l3,126
i06,e04,c5,p06,l1,120
i06,e11,c5,p11,l2,208
i06,e09,c5,p15,l2,104
i38,e10,c1,p13,l4,2295
i06,e10,c5,p08,l3,8511
i38,e04,c1,p10,l1,582
i06,e10,c5,p14,l3,19423
i06,e10,c5,p31,l4,320
i38,e09,c1,p01,l2,81
i02,e04,c1,p35,l3,126
i38,e06,c1,p03,l3,462
i17,e11,c5,p21,l3,143
i41,e07,c1,p13,l3,20
i38,e12,c1,p12,l3,2
i38,e01,c1,p01,l3,98
i27,e09,c5,p24,l3,1
i38,e10,c1,p21,l1,45
i17,e04,c5,p01,l3,80
i38,e08,c1,p16,l2,178
i17,e08,c5,p21,l3,33
i34,e03,c5,p25,l3,32
i34,e03,c5,p16,l3,80
i16,e04,c5,p15,l3,5
i41,e07,c1,p21,l3,19
i01,e04,c1,p04,l3,2
i06,e08,c3,p15,l2,86
i03,e09,c5,p07,l3,3
i17,e08,c5,p03,l3,39
i05,e07,c1,p17,l3,15
i13,e08,c5,p25,l3,23
i13,e08,c5,p24,l3,17
i38,e10,c4,p29,l4,13
i16,e04,c5,p03,l3,7
i34,e09,c5,p24,l3,4
i46,e11,c1,p16,l3,12
i46,e04,c1,p03,l3,2
i41,e04,c1,p11,l3,12
i38,e01,c1,p02,l3,32
i46,e11,c1,p08,l3,1
i46,e11,c1,p11,l3,10
i34,e08,c5,p14,l3,13
i17,e01,c5,p22,l3,4
i21,e09,c1,p24,l3,3
i46,e06,c1,p35,l3,4
i17,e11,c5,p35,l3,2
i03,e10,c5,p24,l3,2
i18,e09,c1,p35,l3,10
i23,e09,c5,p19,l3,3
i14,e11,c5,p10,l3,1
i09,e04,c5,p19,l3,2
i38,e10,c4,p14,l3,2
i17,e01,c5,p26,l3,2
i23,e04,c5,p04,l3,1
i42,e05,c5,p18,l3,3
i43,e09,c1,p09,l3,1
i41,e07,c1,p16,l3,3
i34,e04,c5,p28,l3,4
i38,e12,c1,p11,l3,2
i95,e04,c5,p35,l3,5
i49,e01,c1,p33,l3,1
i16,e01,c5,p02,l3,1
i05,e08,c1,p16,l3,3
i34,e05,c5,p16,l3,1
i42,e05,c3,p12,l3,1
i06,e07,c5,p33,l2,1
i16,e09,c5,p14,l3,3
i46,e11,c1,p18,l3,1
i23,e03,c5,p13,l3,2
i05,e07,c1,p12,l3,1
i39,e09,c5,p20,l3,1
i06,e05,c5,p04,l1,2
i38,e10,c4,p17,l1,1
i46,e08,c1,p25,l3,1
i38,e12,c1,p18,l3,1
i13,e08,c5,p18,l3,1
i06,e10,c5,p07,l3,26277
i02,e01,c1,p15,l3,77
i17,e08,c5,p10,l3,295
i66,e04,c3,p23,l3,2
i06,e10,c3,p04,l3,155
i46,e11,c1,p13,l3,8
i06,e10,c5,p25,l4,665
i06,e09,c5,p11,l2,115
i48,e11,c1,p35,l3,13
i34,e03,c5,p22,l3,19
i38,e10,c4,p11,l3,431
i38,e06,c1,p02,l3,131
i06,e11,c5,p12,l2,346
i06,e10,c5,p22,l1,25
i06,e10,c5,p17,l2,40
i38,e10,c4,p09,l4,42
i19,e10,c5,p35,l2,28
i38,e04,c1,p09,l1,14
i16,e09,c5,p24,l3,1
i38,e08,c1,p09,l2,59
i05,e12,c1,p03,l3,30
i38,e10,c4,unknown,l3,2
i39,e01,c5,p32,l3,10
i34,e01,c5,p03,l3,18
i06,e10,c5,p31,l1,8
i17,e04,c5,p07,l3,58
