timestamp,t_value,prediction
1535731200000,2163288,2163288
1535731500000,1589309,1589309
1535731800000,1354685,1354685
1535732100000,1248242,1248242
1535732400000,1132266,1132266
1535732700000,1058135,1030316
1535733000000,1030316,1030316
1535733300000,971826,1030316
1535733600000,884944,884944
1535733900000,825885,884944
1535734200000,771212,771212
1535734500000,726499,771212
1535734800000,701970,655957
1535735100000,655957,655957
1535735400000,616883,616883
1535735700000,594537,594537
1535736000000,563870,594537
1535736300000,535586,535586
1535736600000,533551,533551
1535736900000,482716,482716
1535737200000,459951,459951
1535737500000,423895,423895
1535737800000,393144,393144
1535738100000,374989,393144
1535738400000,361157,361157
1535738700000,351205,351205
1535739000000,339418,351205
1535739300000,323050,323050
1535739600000,312579,312579
1535739900000,318116,318116
1535740200000,321458,321458
1535740500000,330851,330851
1535740800000,339615,339615
1535741100000,332955,332955
1535741400000,324880,332955
1535741700000,306704,306704
1535742000000,313332,306704
1535742300000,299670,299670
1535742600000,293646,293646
1535742900000,280637,293646
1535743200000,244685,244685
1535743500000,223540,223540
1535743800000,226247,223540
1535744100000,237754,237754
1535744400000,256874,237754
1535744700000,256080,237754
1535745000000,244928,253548
1535745300000,253548,253548
1535745600000,262355,253548
1535745900000,248601,248601
1535746200000,244849,244849
1535746500000,256421,256421
1535746800000,262535,262535
1535747100000,241702,241702
1535747400000,215797,215797
1535747700000,214811,215797
1535748000000,211448,211448
1535748300000,208142,208142
1535748600000,205250,208142
1535748900000,208557,208557
1535749200000,224710,230408
1535749500000,230408,230408
1535749800000,246936,246936
1535750100000,261898,261898
1535750400000,279875,279875
1535750700000,295670,295670
1535751000000,317371,317371
1535751300000,339452,339452
1535751600000,367268,367268
1535751900000,390151,390151
1535752200000,421742,421742
1535752500000,442061,421742
1535752800000,494291,494291
1535753100000,533987,533987
1535753400000,572125,572125
1535753700000,620822,620822
1535754000000,642235,620822
1535754300000,676818,676818
1535754600000,741052,741052
1535754900000,775594,775594
1535755200000,816502,816502
1535755500000,835862,835862
1535755800000,883208,883208
1535756100000,899214,899214
1535756400000,943968,943968
1535756700000,976596,943968
1535757000000,1004695,899214
1535757300000,1021476,1042134
1535757600000,1032994,1042134
1535757900000,1042134,1042134
1535758200000,1104935,1104935
1535758500000,1112247,1112247
1535758800000,1131424,1131424
1535759100000,1152763,1152763
1535759400000,1158640,1158640
1535759700000,1189057,1232804
1535760000000,1232804,1232804
1535760300000,1227291,1227291
1535760600000,1274703,1274703
1535760900000,1304547,1304547
1535761200000,1325562,1304547
1535761500000,1353424,1353424
1535761800000,1437074,1437074
1535762100000,1421063,1421063
1535762400000,1458091,1421063
1535762700000,1478294,1478294
1535763000000,1531980,1533805
1535763300000,1533805,1533805
1535763600000,1607540,1607540
1535763900000,1610085,1610085
1535764200000,1607295,1607295
1535764500000,1602559,1602559
1535764800000,1620008,1620008
1535765100000,1661695,1620008
1535765400000,1961882,1874658
1535765700000,1874658,1874658
1535766000000,1847552,1847552
1535766300000,1830268,1830268
1535766600000,1846055,1846055
1535766900000,1915502,1846055
1535767200000,2052322,2052322
1535767500000,1964932,1933093
1535767800000,1933093,1933093
