timestamp,c1,c2,c3,c4,c5,c6,c7,c8,c1_prediction,c2_prediction,c3_prediction,c4_prediction,c5_prediction,c6_prediction,c7_prediction,c8_prediction
1535731200000,684349.0,270.0,4453.0,14409.0,1459752.0,19.0,35.0,1.0,,,,,,,,
1535731500000,498994.0,187.0,2914.0,12543.0,1074487.0,11.0,172.0,,,,,,,,,
1535731800000,425848.0,226.0,3037.0,11560.0,913904.0,27.0,80.0,3.0,,,,,,,,
1535732100000,388827.0,143.0,2378.0,10971.0,845670.0,9.0,241.0,3.0,,,,,,,,
1535732400000,349338.0,100.0,2067.0,11077.0,769652.0,21.0,11.0,,,,,,,,,
1535732700000,341534.0,100.0,2105.0,7797.0,706543.0,16.0,40.0,,,,,,,,,
1535733000000,317767.0,143.0,1531.0,8197.0,702663.0,11.0,4.0,,,,,,,,,
1535733300000,308359.0,104.0,1939.0,7878.0,653516.0,27.0,3.0,,,,,,,,,
1535733600000,284770.0,150.0,1699.0,6646.0,591660.0,17.0,,2.0,,,,,,,,
1535733900000,260794.0,128.0,1757.0,6783.0,556410.0,11.0,,1.0,,,,,,,,
1535734200000,245352.0,170.0,2014.0,6686.0,516980.0,8.0,,2.0,,,,,,,,
1535734500000,228894.0,119.0,1958.0,5144.0,490365.0,18.0,,1.0,,,,,,,,
1535734800000,219918.0,109.0,1802.0,7010.0,473111.0,14.0,6.0,,,,,,,,,
1535735100000,203567.0,113.0,1657.0,5884.0,444727.0,8.0,,1.0,,,,,,,,
1535735400000,189044.0,90.0,1609.0,7514.0,418600.0,13.0,13.0,,,,,,,,,
1535735700000,176465.0,82.0,1537.0,6759.0,409626.0,14.0,54.0,,,,,,,,,
1535736000000,165188.0,123.0,1285.0,6431.0,390799.0,3.0,41.0,,,,,,,,,
1535736300000,159727.0,84.0,1126.0,5549.0,369095.0,5.0,,,,,,,,,,
1535736600000,162099.0,84.0,1698.0,5579.0,364069.0,22.0,,,,,,,,,,
1535736900000,146171.0,82.0,1990.0,4388.0,330041.0,11.0,33.0,,,,,,,,,
1535737200000,135135.0,28.0,1530.0,4523.0,318711.0,24.0,,,,,,,,,,
1535737500000,120644.0,157.0,1532.0,5012.0,296534.0,14.0,,2.0,,,,,,,,
1535737800000,114467.0,46.0,1243.0,3709.0,273671.0,3.0,3.0,2.0,,,,,,,,
1535738100000,117858.0,124.0,1754.0,3780.0,251461.0,12.0,,,,,,,,,,
1535738400000,100622.0,117.0,1382.0,5363.0,253633.0,6.0,34.0,,,,,,,,,
1535738700000,108561.0,62.0,1140.0,5269.0,236117.0,8.0,48.0,,,,,,,,,
1535739000000,109450.0,89.0,808.0,5462.0,223427.0,10.0,172.0,,,,,,,,,
1535739300000,95420.0,68.0,810.0,5088.0,221600.0,9.0,49.0,6.0,,,,,,,,
1535739600000,95505.0,111.0,709.0,6373.0,209757.0,18.0,90.0,16.0,,,,,,,,
1535739900000,107923.0,55.0,819.0,7875.0,201434.0,2.0,6.0,2.0,,,,,,,,
1535740200000,117997.0,81.0,792.0,10687.0,191845.0,5.0,51.0,,,,,,,,,
1535740500000,129913.0,69.0,1088.0,14657.0,185055.0,23.0,46.0,,,,,,,,,
1535740800000,135860.0,62.0,882.0,17800.0,184940.0,18.0,53.0,,,,,,,,,
1535741100000,138159.0,51.0,837.0,18524.0,175324.0,31.0,29.0,,,,,,,,,
1535741400000,141133.0,48.0,1029.0,19294.0,163250.0,23.0,98.0,5.0,,,,,,,,
1535741700000,127162.0,37.0,839.0,16259.0,162383.0,13.0,10.0,1.0,,,,,,,,
1535742000000,132966.0,129.0,841.0,19364.0,159979.0,8.0,23.0,22.0,,,,,,,,
1535742300000,123066.0,112.0,679.0,17621.0,158038.0,26.0,10.0,118.0,,,,,,,,
1535742600000,120762.0,60.0,840.0,17916.0,153972.0,21.0,14.0,61.0,,,,,,,,
1535742900000,114798.0,55.0,740.0,17436.0,147581.0,9.0,15.0,3.0,,,,,,,,
1535743200000,87675.0,33.0,981.0,13158.0,142770.0,12.0,4.0,52.0,,,,,,,,
1535743500000,78925.0,42.0,998.0,10891.0,132664.0,13.0,,7.0,,,,,,,,
1535743800000,77631.0,52.0,1073.0,11209.0,136129.0,15.0,1.0,137.0,,,,,,,,
1535744100000,91430.0,117.0,1196.0,14241.0,130740.0,14.0,7.0,9.0,,,,,,,,
1535744400000,99505.0,63.0,1504.0,17497.0,138212.0,32.0,18.0,43.0,,,,,,,,
1535744700000,98427.0,56.0,1649.0,16798.0,139100.0,12.0,9.0,29.0,,,,,,,,
1535745000000,90479.0,102.0,1128.0,13053.0,140136.0,19.0,10.0,1.0,,,,,,,,
1535745300000,103902.0,43.0,1605.0,14484.0,133435.0,16.0,8.0,55.0,,,,,,,,
1535745600000,114453.0,58.0,1493.0,15748.0,130521.0,19.0,11.0,52.0,,,,,,,,
1535745900000,108831.0,56.0,1025.0,13732.0,124846.0,6.0,3.0,102.0,,,,,,,,
1535746200000,98806.0,40.0,1551.0,12601.0,131769.0,6.0,1.0,75.0,,,,,,,,
1535746500000,105599.0,37.0,950.0,14793.0,134870.0,13.0,5.0,154.0,,,,,,,,
1535746800000,109420.0,56.0,993.0,16577.0,135458.0,8.0,5.0,18.0,,,,,,,,
1535747100000,99928.0,78.0,921.0,12563.0,128201.0,8.0,2.0,1.0,,,,,,,,
1535747400000,78979.0,43.0,899.0,7940.0,127910.0,16.0,6.0,3.0,,,,,,,,
1535747700000,77674.0,60.0,904.0,5928.0,130148.0,12.0,5.0,80.0,,,,,,,,
1535748000000,68039.0,49.0,1103.0,4409.0,137825.0,3.0,,20.0,,,,,,,,
1535748300000,60079.0,53.0,1073.0,4058.0,142822.0,5.0,,52.0,,,,,,,,
1535748600000,52794.0,69.0,990.0,3254.0,148086.0,12.0,1.0,44.0,,,,,,,,
1535748900000,52842.0,18.0,1086.0,2700.0,151881.0,17.0,3.0,10.0,,,,,,,,
1535749200000,59364.0,43.0,1156.0,2971.0,161104.0,21.0,,51.0,,,,,,,,
1535749500000,63391.0,53.0,1091.0,3579.0,162236.0,7.0,,51.0,,,,,,,,
