timestamp,set
1538176200000,e10
1538230200000,c5&l3
1538250300000,i06&e10&c5&l3
1538252400000,i06&e10&c5&l3
1538262600000,i06&e10&c5
1538292900000,l3
1538294700000,l3
1538305500000,e11&l3
1538312700000,i38&e10&c1&l3
1538316900000,c1
1538336100000,i06&e10&c5&l3
1538349900000,i06&e10&c5&l3
1538377800000,i06&e10&c5&l3
1538382000000,l3
1538383800000,p12&l3
1538385900000,i06&e10&c5&l3
1538388000000,i06&e08&c5&p35&l3
1538390700000,i06&e10&c1
1538393700000,i38&c1&p04
1538396700000,i38&e10&c1&l3
1538400900000,i38&e10&c1&l3
1538402700000,i38&e10&l3
1538440500000,i06&e10&c5&l3
1538454000000,e10&c1&l3
1538456100000,i06&c5
1538464200000,i06&e10&c5&l3
1538466300000,e09&c1&l3
1538469600000,c1
1538473800000,e04&p31&l3
1538476500000,i38&e10&c1&l3
1538480100000,i06&e10&c5&p01&l3
1538483700000,i06&e10&c5&p12&l3
1538487300000,e10&p21
1538489100000,l3
1538504400000,e10
1538508300000,e10
1538528700000,i06&e10&c5&l3
1538538300000,i06&e10&c5&l3
1538540700000,i06&c5&l3
1538542800000,i06
1538545500000,i06&e10&l3
1538547900000,i06&e10&c5&l3
1538552100000,e10&c1&l3
1538555400000,c5&l3
1538557800000,i30&c1&l3
1538559900000,i06&e10&c5&l3
1538563200000,p05
1538566800000,i06&c5
1538568900000,i06&e10&c5&l3
1538571600000,e10&c5&l3
1538573700000,c5&l3
1538576100000,i14&e10&l3
1538620500000,i06&e10&c5&l3
1538624100000,i06&e10&c5&l3
1538627400000,i06&e10&c5&l3
1538631000000,c5&l3
1538633700000,i06&c5
1538635800000,e08&c5&p02&l3
1538637900000,i06&e10&c5&l3
1538639700000,l3
1538642700000,i06&e10&c5&l3
1538646300000,c4&l1
1538649300000,i06&e10&c5&p10&l3
1538652300000,e08&c1&p35&l3
1538654100000,l3
1538656500000,i38
1538659500000,i06&e10&c5&p23&l4
1538661900000,i06&c5&l3
1538680800000,i06&e10&c5&l3
1538685000000,i06&e10&c5&l3
1538699700000,i06&e10&c5&l3
1538705700000,i06&e10&c5&l3
1538708400000,i06&e10&c5&l3
1538710500000,i06&e10&c5&l3
1538713500000,i06&e10&c5&l3
1538715600000,i06&c5&l3
1538718300000,i38&e10&c1&p01&l3
1538721300000,c5&l3
1538723400000,i06&e10&c5&l3
1538725800000,i47&c1&p35&l3
1538728200000,l3
1538731500000,i06&e10&c5&l3
1538735400000,i38&e10&c1&p10
1538748300000,e10&l3
1538791200000,i06&e10&c5&l3
1538793900000,i06&e10&c5&l3
1538795700000,i06&e10&c5&l3
1538800500000,i06&c5
1538804100000,e10&c1&l3
1538806500000,i06&e10&c5&p24&l3
1538808600000,l3
1538812500000,e10&c5&l3
1538816400000,i06&e10&c5
1538820000000,p03&l3
1538822100000,i06&e10&c5&l3
1538831100000,i48&c1&l3
1538834400000,i06&e10
1538856000000,i06&e10&c5&l3
1538857800000,i06&e10&c5&l3
1538872200000,i06&e10&c5&l3
1538880000000,i06&e10&c5&l3
1538885400000,i38&e10&c1&l3
1538887500000,i06&e10&c5&l3
1538890500000,i06&e10&c5&l3
1538892600000,l3
1538896500000,i06&e10&c5&l3
1538899200000,l3
1538901300000,i06&e10&c5&l3
1538904600000,l3
1538906400000,i06&e10&c5&l3
1538908500000,e09&l3
1538917800000,i38&e10&c4&p07&l3
1538921100000,i06&e10&c5&l3
1538926200000,c5&l3
1538938500000,i06&e10&c5&l3
1538943000000,i06&e10&c5&l3
1538966700000,i06&e10&c5&l3
1538969100000,e10&c5&l3
1538971200000,i06&e10&l3
1538974200000,i38&e10&c1&l3
1538977800000,i06&e10&c5&p07&l3
1538980500000,c1&l3
1538983800000,e10&c5&l3
1538985900000,i06&e10&c5&l3
1538987700000,i15&e04&c2&p35&l3
1538989800000,l3
1538992200000,i06&e10&c5&p06&l3
1538994300000,i38&e08&c1&l4
1538997000000,e05&c5&l3
1539000000000,i06&e10&c5&p19&l3
1539002700000,e10&l3
1539004800000,e10&c1&l3
1539006600000,i14&e05&c5&p22&l3
1539008400000,e10
1539028800000,e10&l3
1539048000000,i06&e10&c5&l3
1539052800000,i06&e10&c5&l3
1539055200000,i06&e10&c5&l3
1539057300000,e10&c5&l3
1539060000000,i06&e10&c5&l3
1539063900000,i06&e10&c5&l3
1539066000000,i06&e10&c5&p17&l3
1539069000000,i06&e10&c5&p04&l3
1539071400000,i06&e10&c5&l3
1539074400000,l3
1539078300000,i06&c5
1539080400000,i38&c1&l3
1539082800000,l4
1539084600000,i06&e10&c5&l3
1539087900000,e04&l3
1539091200000,e11&c5&l3
1539115200000,i06&e10&c5&l3
1539127500000,i06&e10&c5&l3
1539134400000,e10&c1&l3
1539139800000,i06&e10&c5&l3
1539146700000,i06&e10&c5&l3
1539150600000,i06&e10&c5&l3
1539152700000,c1&p35&l3
1539157500000,i06&e10&c5&l3
1539161700000,i06&e10&c5&l3
1539165300000,i38&e10&c1&l3
1539167100000,i38&e10&c1&p10&l3
1539168900000,i05&e07&c1&p01&l3
1539175800000,i06&e10&c5&l3
1539179100000,i38&e10&c1&l3
1539181800000,e10
1539201900000,i06&e10&c5&l3
1539213600000,i06&e10&l3
1539221400000,i06&e10&c5&l3
1539226200000,i06&e10&c5&l3
1539228900000,i06&e10&c5&l3
1539231000000,i06&e10&c5&l3
1539233100000,e10&c1&l3
1539237000000,l3
1539239100000,c5&l3
1539244800000,l3
1539247800000,e08
1539251400000,i06&e10&c1
1539253500000,i38&e10&c1
1539256800000,e10&p18
1539261000000,e10
1539265200000,i06&l3
1539267600000,e10
1539286500000,i06&e10&c5&l3
1539288600000,e10
1539312900000,e10&c5&l3
1539316800000,i06&e10&c5&l3
1539320100000,i06&e10&c5&l3
1539323400000,i38&e10&c1&l3
1539325500000,c5&l3
1539329700000,i38&e10&c1&l3
1539333300000,i06&e10&c5&p12&l3
1539336600000,e08&p35
1539339000000,c1&p02
1539341100000,i06&e10&c3&p18&l3
1539344400000,e10
1539346200000,i06
1539348900000,e11&c4&p35&l3
1539351000000,l3
1539352800000,i06&e10&c5&l3
